,Vehicle Class,Coverage,Renew Offer Type,Employment Status,Marital Status,Education,Number of Policies,Monthly Premium Auto,Total Claim Amount,Income,Customer Lifetime Value,Gender,Location Code,Policy Duration (Months)
3571,Four-Door Car,Extended,Offer3,Medical Leave,Single,Master,1,84.0,871.505797,19464.0,3086.873854,F,Suburban,94
5598,Four-Door Car,Basic,Offer2,Employed,Married,High School or Below,8,65.0,108.567965,93348.0,5266.420543,F,Rural,50
697,Two-Door Car,Extended,Offer1,Employed,Married,High School or Below,1,99.0,475.2,47221.0,4012.319346,F,Suburban,79
3719,Four-Door Car,Extended,Offer2,Employed,Married,High School or Below,3,94.0,146.950756,31477.0,7516.831717,F,Rural,77
4017,Four-Door Car,Basic,Offer3,Employed,Single,Bachelor,2,71.0,339.42418,50398.0,22261.0224,F,Urban,51
3304,Two-Door Car,Basic,Offer4,Employed,Married,High School or Below,5,73.0,548.333667,26975.0,5809.261551,F,Suburban,59
5650,Four-Door Car,Basic,Offer2,Employed,Married,High School or Below,3,64.0,307.2,51659.0,5074.841142,M,Suburban,37
2381,Four-Door Car,Basic,Offer3,Employed,Married,Bachelor,3,67.0,190.649902,43671.0,5329.075482,F,Urban,67
3049,Four-Door Car,Basic,Offer2,Employed,Married,Bachelor,2,70.0,50.40447,49945.0,19363.52743,M,Rural,65
5097,SUV,Basic,Offer2,Employed,Married,College,7,109.0,784.8,27804.0,8492.6988,M,Suburban,54
3302,Two-Door Car,Basic,Offer1,Employed,Married,College,1,73.0,67.490616,96137.0,2902.151897,F,Rural,34
1984,Four-Door Car,Basic,Offer1,Medical Leave,Single,College,2,66.0,279.706613,24584.0,9688.129179,F,Urban,74
5555,Sports Car,Premium,Offer2,Employed,Divorced,College,2,146.0,76.475359,68273.0,17557.54051,F,Rural,93
2228,Four-Door Car,Basic,Offer1,Employed,Married,College,2,67.0,327.020539,53554.0,8082.880956,M,Suburban,5
4124,Four-Door Car,Basic,Offer1,Employed,Married,College,2,61.0,292.8,58149.0,21892.93859,M,Suburban,90
3589,Four-Door Car,Basic,Offer3,Employed,Single,Bachelor,2,66.0,184.936711,67186.0,7850.128057,F,Urban,20
3097,Four-Door Car,Basic,Offer1,Disabled,Divorced,College,3,70.0,336.0,12613.0,5213.068893,F,Suburban,81
993,Two-Door Car,Basic,Offer4,Employed,Single,Master,4,69.0,331.2,66334.0,5454.587929,M,Suburban,25
3818,Two-Door Car,Extended,Offer3,Employed,Married,Bachelor,7,81.0,309.161777,30857.0,6451.263836,F,Urban,14
2815,SUV,Basic,Offer1,Employed,Married,Bachelor,2,105.0,504.0,71644.0,38410.59556,F,Suburban,83
2584,Two-Door Car,Extended,Offer4,Employed,Married,Bachelor,9,93.0,669.6,24672.0,7297.687812,M,Suburban,44
1118,Four-Door Car,Basic,Offer1,Employed,Divorced,College,2,63.0,340.453606,24083.0,7317.014254,F,Suburban,2
5471,Four-Door Car,Basic,Offer2,Employed,Married,High School or Below,1,67.0,321.6,54480.0,2676.867914,F,Suburban,91
757,Two-Door Car,Premium,Offer2,Employed,Divorced,College,1,118.0,320.327775,28354.0,4590.811214,F,Urban,20
1500,Four-Door Car,Premium,Offer2,Employed,Single,High School or Below,3,109.0,371.206205,52440.0,8556.58016,F,Urban,58
1948,Two-Door Car,Premium,Offer1,Medical Leave,Married,Bachelor,6,105.0,504.0,11489.0,8110.333139,F,Suburban,50
4074,Two-Door Car,Basic,Offer2,Employed,Single,High School or Below,2,61.0,292.8,29822.0,19014.47625,F,Suburban,44
3547,Two-Door Car,Basic,Offer1,Employed,Single,Doctor,3,64.0,380.917107,77025.0,5104.354719,M,Suburban,44
4603,Four-Door Car,Extended,Offer2,Employed,Married,Bachelor,1,84.0,344.015386,78092.0,3349.639274,M,Urban,13
1167,Four-Door Car,Basic,Offer2,Employed,Divorced,Master,3,72.0,174.041566,88997.0,5757.442258,M,Rural,71
2975,SUV,Premium,Offer1,Employed,Married,Bachelor,1,193.0,926.4,32051.0,7724.840065,F,Suburban,40
3125,Four-Door Car,Basic,Offer1,Employed,Married,College,3,72.0,99.039453,45345.0,5677.465907,M,Rural,86
459,Two-Door Car,Basic,Offer1,Employed,Married,College,2,73.0,15.001594,41503.0,11610.25439,F,Rural,69
3206,SUV,Basic,Offer3,Employed,Married,High School or Below,8,114.0,547.2,68073.0,9080.28284,M,Suburban,63
886,SUV,Basic,Offer1,Employed,Married,College,1,113.0,792.104571,23006.0,4448.642277,M,Suburban,60
2084,Four-Door Car,Extended,Offer1,Disabled,Divorced,Master,2,84.0,403.2,20942.0,9670.181104,F,Suburban,59
2782,Two-Door Car,Basic,Offer1,Employed,Married,College,5,70.0,283.743206,39507.0,5607.253592,F,Urban,17
5649,SUV,Basic,Offer3,Employed,Married,High School or Below,8,118.0,566.4,27824.0,9427.684903,F,Suburban,9
2618,Four-Door Car,Extended,Offer3,Employed,Single,High School or Below,9,81.0,353.592003,87210.0,6486.111674,F,Urban,26
2305,SUV,Basic,Offer1,Employed,Married,High School or Below,7,104.0,21.261834,30865.0,8329.286254,F,Rural,31
684,Four-Door Car,Basic,Offer2,Employed,Single,Doctor,1,72.0,60.845685,92629.0,2842.025913,F,Rural,1
2588,Luxury SUV,Basic,Offer2,Employed,Single,High School or Below,2,194.0,744.769131,69240.0,23086.36478,F,Urban,29
3677,Four-Door Car,Basic,Offer1,Employed,Married,Doctor,3,70.0,244.801119,36938.0,5682.515346,F,Urban,31
86,SUV,Basic,Offer1,Employed,Married,College,1,111.0,497.126827,84903.0,4475.424592,F,Urban,63
4319,Four-Door Car,Basic,Offer4,Employed,Married,Master,1,66.0,105.379402,68787.0,2674.07551,F,Rural,64
1633,Four-Door Car,Extended,Offer3,Employed,Married,College,2,78.0,95.816516,51056.0,21850.84002,F,Rural,86
5452,Luxury SUV,Extended,Offer3,Employed,Married,High School or Below,1,229.0,1550.375183,45310.0,9090.269181,M,Suburban,70
3114,Luxury SUV,Extended,Offer3,Employed,Married,Bachelor,6,208.0,998.4,74900.0,16705.10312,M,Suburban,63
4633,Sports Car,Extended,Offer1,Medical Leave,Married,High School or Below,2,135.0,648.0,25852.0,15266.48446,F,Suburban,71
644,SUV,Basic,Offer1,Employed,Single,High School or Below,3,107.0,406.430632,91099.0,8528.288669,F,Urban,37
2722,Luxury Car,Extended,Offer1,Employed,Married,Bachelor,2,230.0,151.528482,88220.0,27776.28906,M,Rural,63
89,Sports Car,Basic,Offer2,Employed,Married,High School or Below,1,119.0,307.639408,99874.0,4807.846463,M,Urban,42
3140,Four-Door Car,Basic,Offer4,Employed,Married,High School or Below,3,72.0,261.341223,65538.0,5799.063709,F,Urban,86
5223,Four-Door Car,Basic,Offer1,Employed,Single,High School or Below,1,73.0,425.81795,28887.0,2753.312714,F,Suburban,15
79,SUV,Premium,Offer4,Employed,Married,Doctor,1,194.0,469.257835,67787.0,7751.927614,M,Rural,73
2965,Luxury SUV,Basic,Offer2,Employed,Married,Master,3,199.0,419.26062,79041.0,16138.41628,F,Rural,48
1137,Four-Door Car,Basic,Offer3,Employed,Married,Bachelor,1,62.0,10.560419,40921.0,2435.535995,F,Rural,50
5564,Four-Door Car,Basic,Offer2,Employed,Single,High School or Below,5,65.0,312.0,20951.0,4961.574919,F,Suburban,50
4876,Four-Door Car,Extended,Offer4,Disabled,Divorced,Bachelor,1,79.0,379.2,13789.0,3041.791561,F,Suburban,49
4302,Two-Door Car,Extended,Offer3,Medical Leave,Divorced,High School or Below,2,82.0,393.6,23402.0,15519.67161,M,Suburban,28
3262,SUV,Basic,Offer2,Employed,Married,College,1,102.0,489.6,82427.0,4103.849192,F,Suburban,5
4577,Four-Door Car,Extended,Offer2,Employed,Married,Bachelor,3,87.0,417.6,30814.0,6889.6161,F,Suburban,96
4394,Luxury SUV,Basic,Offer1,Employed,Married,College,7,192.0,878.812468,69841.0,15417.6822,F,Urban,66
3051,Four-Door Car,Basic,Offer3,Medical Leave,Married,Bachelor,1,72.0,345.6,24152.0,2661.729688,F,Suburban,28
800,Two-Door Car,Basic,Offer3,Employed,Married,Bachelor,1,72.0,216.01091,96765.0,2938.814981,F,Urban,61
3172,SUV,Premium,Offer1,Employed,Divorced,Bachelor,3,160.0,768.0,22234.0,12550.88198,F,Suburban,92
3649,SUV,Basic,Offer3,Employed,Married,College,9,109.0,527.759702,31354.0,8667.090494,M,Suburban,23
501,Four-Door Car,Premium,Offer1,Employed,Divorced,Master,3,113.0,441.623031,52572.0,9045.111945,F,Urban,22
1650,Luxury Car,Basic,Offer3,Employed,Single,College,2,187.0,897.6,37553.0,22217.96796,F,Suburban,7
2565,Four-Door Car,Basic,Offer3,Employed,Married,Master,1,66.0,475.2,29305.0,2641.446062,F,Suburban,38
2688,Four-Door Car,Basic,Offer4,Employed,Married,College,1,70.0,279.714859,39646.0,2769.72527,M,Urban,35
4342,Four-Door Car,Extended,Offer1,Employed,Single,College,8,92.0,530.340202,63267.0,7247.206475,F,Suburban,31
3324,SUV,Basic,Offer3,Employed,Married,College,3,110.0,128.645946,90125.0,8861.149536,F,Rural,72
4055,Four-Door Car,Basic,Offer3,Employed,Married,Bachelor,6,68.0,64.799325,77524.0,5320.343098,M,Rural,95
1706,SUV,Extended,Offer2,Employed,Divorced,Bachelor,3,131.0,984.170299,30604.0,9915.90229,M,Suburban,76
3152,Four-Door Car,Basic,Offer2,Employed,Divorced,Bachelor,2,65.0,312.0,70200.0,10171.33903,M,Suburban,10
5011,Two-Door Car,Basic,Offer2,Employed,Married,Master,9,65.0,263.844471,76646.0,5226.286197,M,Urban,30
1886,Four-Door Car,Basic,Offer1,Employed,Married,Bachelor,5,74.0,355.2,36685.0,5923.208,F,Suburban,25
5322,Four-Door Car,Basic,Offer2,Employed,Married,High School or Below,1,73.0,350.4,24350.0,2823.501795,M,Suburban,89
2296,SUV,Basic,Offer1,Employed,Married,College,2,114.0,547.2,55588.0,13681.71178,F,Suburban,40
3935,Two-Door Car,Basic,Offer1,Employed,Divorced,Bachelor,5,67.0,262.047663,40113.0,5029.296953,M,Urban,43
296,Four-Door Car,Extended,Offer2,Employed,Married,College,8,76.0,377.350433,22946.0,5980.846151,F,Suburban,72
706,Two-Door Car,Extended,Offer3,Employed,Married,College,4,79.0,391.039166,67881.0,6383.482152,F,Suburban,70
5152,Two-Door Car,Premium,Offer3,Employed,Married,College,4,103.0,494.4,45257.0,8277.74558,F,Suburban,90
5413,Four-Door Car,Basic,Offer4,Employed,Single,College,3,70.0,230.912999,55483.0,5447.835272,F,Urban,46
2538,Four-Door Car,Basic,Offer2,Employed,Single,High School or Below,6,71.0,29.03416,71811.0,5592.161392,F,Rural,48
2328,SUV,Extended,Offer1,Medical Leave,Married,College,3,139.0,105.991559,26367.0,10839.50749,F,Rural,26
1231,Four-Door Car,Basic,Offer1,Employed,Married,Bachelor,2,69.0,118.468275,87123.0,8388.717011,F,Rural,87
3054,Two-Door Car,Basic,Offer1,Employed,Married,College,3,64.0,403.385123,46922.0,5092.793862,M,Suburban,12
1201,Luxury Car,Basic,Offer4,Employed,Single,High School or Below,3,185.0,888.0,28327.0,14131.12134,M,Suburban,26
3390,Four-Door Car,Basic,Offer2,Employed,Married,College,9,74.0,73.919629,61006.0,5953.213546,M,Rural,99
1781,SUV,Basic,Offer3,Employed,Divorced,Bachelor,2,114.0,547.2,49088.0,13107.92594,M,Suburban,87
1450,Four-Door Car,Extended,Offer1,Employed,Single,Bachelor,1,83.0,269.406119,56869.0,3061.052283,M,Urban,34
1619,SUV,Basic,Offer1,Employed,Divorced,High School or Below,6,104.0,117.959654,28937.0,7858.109763,F,Rural,23
4416,Four-Door Car,Basic,Offer1,Employed,Married,College,7,69.0,325.395532,85704.0,5573.10605,M,Urban,84
174,Four-Door Car,Basic,Offer4,Employed,Married,Bachelor,1,71.0,134.158389,80590.0,2891.272351,F,Rural,19
1038,Four-Door Car,Basic,Offer2,Employed,Married,High School or Below,1,74.0,347.060173,26242.0,2926.829158,M,Urban,69
811,Four-Door Car,Extended,Offer1,Employed,Married,Bachelor,7,94.0,426.072946,48992.0,7482.486135,F,Urban,0
4959,Four-Door Car,Basic,Offer4,Employed,Divorced,Master,1,70.0,104.209216,61807.0,2784.969185,M,Rural,96
3823,Two-Door Car,Extended,Offer4,Employed,Married,High School or Below,1,83.0,596.320943,77309.0,3358.660979,F,Suburban,6
1604,SUV,Basic,Offer3,Medical Leave,Married,College,6,114.0,547.2,20225.0,8269.075366,M,Suburban,64
2028,Two-Door Car,Basic,Offer4,Employed,Married,Bachelor,2,71.0,74.523935,93210.0,11430.58845,M,Rural,62
4046,Two-Door Car,Basic,Offer3,Employed,Married,High School or Below,2,69.0,78.189401,78494.0,22399.12944,F,Rural,53
2211,Two-Door Car,Basic,Offer4,Employed,Married,Doctor,2,73.0,378.262864,25752.0,8720.458745,M,Suburban,85
1337,Four-Door Car,Basic,Offer1,Employed,Married,College,3,72.0,189.096179,86824.0,5817.832355,F,Urban,76
1460,Four-Door Car,Extended,Offer1,Employed,Married,Bachelor,7,80.0,305.544034,47622.0,6301.102478,M,Urban,13
2030,Four-Door Car,Premium,Offer2,Disabled,Married,High School or Below,1,109.0,489.411833,12160.0,4213.918619,F,Urban,34
3033,Four-Door Car,Basic,Offer4,Employed,Married,High School or Below,5,66.0,316.8,90217.0,5261.117506,M,Suburban,88
2715,Four-Door Car,Basic,Offer1,Employed,Single,Master,3,71.0,380.919824,37675.0,5704.679894,F,Suburban,80
3717,Four-Door Car,Basic,Offer1,Employed,Married,College,1,72.0,381.238176,65247.0,2899.702858,F,Suburban,55
3214,Luxury SUV,Premium,Offer4,Employed,Married,High School or Below,1,274.0,1972.8,29418.0,10926.69497,M,Suburban,31
2163,SUV,Basic,Offer1,Employed,Married,College,5,107.0,245.076091,59230.0,8513.592687,M,Rural,56
2805,SUV,Basic,Offer2,Employed,Divorced,College,7,116.0,556.8,48029.0,9101.523916,M,Suburban,79
1954,Two-Door Car,Extended,Offer4,Employed,Married,High School or Below,1,83.0,398.4,74142.0,3317.904817,M,Suburban,60
2321,Four-Door Car,Basic,Offer3,Employed,Single,Bachelor,8,67.0,29.884537,77357.0,5229.741907,M,Rural,38
163,Two-Door Car,Premium,Offer4,Employed,Divorced,Bachelor,1,119.0,803.686321,30383.0,4655.209814,F,Suburban,25
4464,Four-Door Car,Basic,Offer2,Medical Leave,Single,Bachelor,6,61.0,292.8,21137.0,4492.23348,F,Suburban,62
435,Four-Door Car,Basic,Offer3,Employed,Married,High School or Below,1,68.0,541.695658,32808.0,2688.863963,F,Suburban,88
291,Luxury SUV,Basic,Offer1,Medical Leave,Divorced,Bachelor,2,198.0,950.4,17130.0,28432.00202,M,Suburban,58
5224,Four-Door Car,Premium,Offer2,Employed,Married,Bachelor,3,116.0,556.8,23377.0,9263.179837,F,Suburban,19
1822,SUV,Basic,Offer4,Employed,Married,High School or Below,2,103.0,355.409311,64396.0,16373.7273,M,Urban,46
4589,Sports Car,Extended,Offer4,Employed,Single,College,2,128.0,48.517439,97298.0,30475.78048,F,Rural,38
1545,Four-Door Car,Basic,Offer2,Employed,Married,Bachelor,1,64.0,164.328953,79297.0,2569.692441,F,Urban,44
2099,SUV,Basic,Offer3,Disabled,Married,Bachelor,1,106.0,508.8,19245.0,3936.785538,M,Suburban,61
4197,Four-Door Car,Basic,Offer3,Medical Leave,Married,Master,5,69.0,170.939409,14775.0,5297.625945,M,Rural,44
3838,Four-Door Car,Basic,Offer3,Disabled,Married,College,9,69.0,331.2,21299.0,5316.606293,F,Suburban,1
4801,SUV,Extended,Offer2,Employed,Married,Master,3,124.0,286.003968,33157.0,9988.787618,F,Rural,58
2273,Two-Door Car,Basic,Offer3,Employed,Single,High School or Below,1,61.0,292.8,48911.0,2374.147419,M,Suburban,6
93,Two-Door Car,Basic,Offer2,Employed,Married,College,2,73.0,290.70096,91580.0,8870.673845,M,Urban,52
3385,Four-Door Car,Basic,Offer3,Disabled,Married,High School or Below,3,65.0,312.0,25572.0,4893.979609,M,Suburban,30
4134,Two-Door Car,Basic,Offer3,Employed,Married,Master,1,74.0,355.2,35605.0,2991.423685,F,Suburban,95
4906,Two-Door Car,Premium,Offer3,Disabled,Married,High School or Below,1,103.0,494.4,23540.0,3815.321577,M,Suburban,23
5560,Two-Door Car,Basic,Offer3,Employed,Divorced,High School or Below,1,70.0,83.121963,37703.0,2719.431536,M,Rural,51
1159,Four-Door Car,Basic,Offer4,Employed,Married,Bachelor,1,63.0,35.45384,53338.0,2503.660407,M,Rural,35
367,Two-Door Car,Basic,Offer1,Employed,Divorced,College,1,74.0,195.405949,94362.0,2957.102851,M,Urban,96
5342,Four-Door Car,Basic,Offer4,Employed,Married,College,1,64.0,246.065764,43204.0,2523.654743,M,Urban,19
2594,Four-Door Car,Extended,Offer2,Employed,Married,High School or Below,1,86.0,134.430084,65162.0,3482.687007,M,Rural,59
3938,Four-Door Car,Premium,Offer1,Employed,Married,Master,1,114.0,434.7579,48569.0,4576.759564,F,Urban,14
2848,Four-Door Car,Extended,Offer4,Employed,Married,College,3,85.0,520.364752,96610.0,6915.729915,F,Suburban,23
2330,Four-Door Car,Basic,Offer2,Employed,Married,College,2,74.0,202.860399,69906.0,23444.90045,F,Urban,32
1438,Four-Door Car,Basic,Offer1,Employed,Married,Bachelor,7,74.0,128.21198,43440.0,5906.940238,F,Rural,52
5230,SUV,Basic,Offer2,Employed,Married,Bachelor,1,105.0,504.0,24641.0,4196.429642,F,Suburban,82
3516,Two-Door Car,Basic,Offer1,Employed,Single,Bachelor,1,62.0,244.212286,93383.0,2480.045899,F,Urban,64
3739,Four-Door Car,Basic,Offer2,Employed,Married,High School or Below,1,65.0,312.0,29757.0,2581.110945,M,Suburban,55
104,Four-Door Car,Basic,Offer1,Employed,Married,Bachelor,4,61.0,206.810286,58682.0,4883.805481,F,Urban,34
3570,SUV,Basic,Offer2,Employed,Married,Master,1,104.0,5.894778,62113.0,4178.586494,M,Rural,0
4511,Four-Door Car,Basic,Offer1,Employed,Divorced,Bachelor,4,72.0,203.42306,45586.0,5656.203464,F,Urban,20
3893,Two-Door Car,Extended,Offer3,Employed,Single,High School or Below,3,86.0,562.224942,57289.0,6688.857444,M,Suburban,88
4121,Four-Door Car,Extended,Offer3,Disabled,Divorced,High School or Below,2,78.0,374.4,26864.0,8807.486831,F,Suburban,12
2334,SUV,Basic,Offer2,Employed,Married,College,1,116.0,556.8,37709.0,4558.972934,M,Suburban,39
523,Four-Door Car,Basic,Offer1,Employed,Single,College,7,64.0,63.709865,33938.0,4898.674401,M,Rural,76
334,Sports Car,Basic,Offer2,Medical Leave,Married,College,6,111.0,225.437098,12780.0,8193.750001,F,Rural,53
4497,Four-Door Car,Basic,Offer2,Employed,Married,High School or Below,1,74.0,355.2,57248.0,2952.581331,F,Suburban,17
1078,SUV,Basic,Offer1,Employed,Divorced,Bachelor,6,107.0,513.6,55308.0,8415.684559,M,Suburban,74
1402,Four-Door Car,Extended,Offer2,Employed,Married,Bachelor,1,92.0,441.6,59016.0,3690.698916,F,Suburban,65
4084,Four-Door Car,Basic,Offer2,Employed,Single,College,6,61.0,421.235276,74730.0,4819.183706,M,Suburban,84
1219,Four-Door Car,Basic,Offer4,Employed,Married,Bachelor,2,71.0,165.057816,90456.0,14203.6226,M,Rural,40
1361,SUV,Basic,Offer2,Employed,Married,Bachelor,9,114.0,133.425609,82664.0,8838.085637,M,Rural,10
424,Four-Door Car,Extended,Offer2,Employed,Married,Doctor,1,99.0,475.2,37384.0,4014.453113,F,Suburban,17
4473,Two-Door Car,Basic,Offer1,Employed,Married,College,2,68.0,158.041549,92777.0,8146.271602,F,Rural,83
895,Two-Door Car,Basic,Offer2,Disabled,Married,High School or Below,2,62.0,297.6,17109.0,9259.729948,M,Suburban,45
2378,Two-Door Car,Basic,Offer1,Retired,Divorced,College,6,62.0,362.989533,24711.0,4328.864771,M,Suburban,11
232,Two-Door Car,Basic,Offer2,Employed,Married,High School or Below,2,67.0,321.6,22862.0,7937.064822,F,Suburban,40
3340,Four-Door Car,Basic,Offer3,Employed,Divorced,College,2,72.0,141.725051,71592.0,8742.05776,F,Rural,18
2724,Four-Door Car,Extended,Offer4,Disabled,Married,High School or Below,4,89.0,427.2,15871.0,6838.767672,M,Suburban,19
5399,Sports Car,Premium,Offer4,Employed,Married,College,1,159.0,466.436375,30110.0,6262.663307,M,Urban,71
2365,Two-Door Car,Basic,Offer4,Employed,Married,High School or Below,1,64.0,99.894584,50201.0,2552.00081,F,Rural,99
3944,Four-Door Car,Basic,Offer3,Employed,Divorced,Bachelor,1,71.0,344.470631,50738.0,2855.925747,F,Suburban,48
29,SUV,Extended,Offer1,Employed,Married,College,2,125.0,600.0,45345.0,14696.63549,M,Suburban,73
1940,Four-Door Car,Premium,Offer1,Employed,Married,High School or Below,1,104.0,499.2,55897.0,4165.166581,F,Suburban,5
2861,Two-Door Car,Extended,Offer2,Employed,Married,High School or Below,2,97.0,465.6,45893.0,11606.84868,F,Suburban,75
2964,Four-Door Car,Basic,Offer3,Employed,Married,High School or Below,3,63.0,302.4,33176.0,4981.825724,M,Suburban,75
4175,Four-Door Car,Basic,Offer4,Employed,Married,Master,9,73.0,80.669257,62773.0,5887.182043,F,Rural,57
3824,Two-Door Car,Extended,Offer1,Employed,Single,Bachelor,9,83.0,417.28389,37138.0,6186.265217,M,Suburban,1
4488,Four-Door Car,Basic,Offer1,Employed,Married,College,3,63.0,174.08854,67890.0,5020.473987,M,Urban,26
1267,SUV,Basic,Offer2,Employed,Married,College,8,100.0,480.0,32823.0,7824.372789,M,Suburban,36
2188,Two-Door Car,Extended,Offer2,Medical Leave,Married,Bachelor,1,87.0,417.6,19098.0,3220.775528,M,Suburban,3
5594,SUV,Basic,Offer2,Employed,Married,Master,2,119.0,222.032326,59349.0,43026.52149,M,Rural,41
3902,Four-Door Car,Basic,Offer1,Medical Leave,Married,Bachelor,5,64.0,307.2,29177.0,4766.940473,F,Suburban,20
1841,Four-Door Car,Basic,Offer1,Employed,Married,High School or Below,4,66.0,213.574473,88669.0,5320.081159,F,Urban,18
2656,Two-Door Car,Basic,Offer3,Employed,Divorced,Bachelor,2,65.0,312.0,23530.0,7478.313695,M,Suburban,34
1969,Four-Door Car,Basic,Offer2,Disabled,Married,College,1,66.0,316.8,10860.0,2563.394054,F,Suburban,91
351,Two-Door Car,Premium,Offer1,Employed,Married,High School or Below,7,112.0,537.6,40867.0,8920.463999,F,Suburban,98
68,Four-Door Car,Basic,Offer2,Disabled,Married,Master,1,62.0,297.6,22239.0,2404.633766,M,Suburban,85
4774,SUV,Basic,Offer2,Employed,Married,College,4,109.0,523.2,83365.0,8656.396659,M,Suburban,7
5090,Four-Door Car,Basic,Offer1,Employed,Single,Bachelor,1,61.0,292.8,54753.0,2378.667328,M,Suburban,99
1932,Four-Door Car,Basic,Offer3,Employed,Married,High School or Below,7,70.0,336.0,66620.0,5619.849825,M,Suburban,75
2053,Two-Door Car,Extended,Offer2,Employed,Married,High School or Below,1,82.0,393.6,60934.0,3286.171949,F,Suburban,64
88,Sports Car,Extended,Offer1,Employed,Married,Bachelor,4,138.0,938.513425,21450.0,10937.1785,F,Suburban,35
3388,Four-Door Car,Basic,Offer2,Employed,Married,College,1,68.0,202.938048,63401.0,2730.3538,F,Urban,18
4133,Four-Door Car,Basic,Offer2,Employed,Married,College,2,64.0,302.56519,64749.0,7619.5158,M,Urban,59
1534,Four-Door Car,Basic,Offer1,Disabled,Married,High School or Below,4,72.0,345.6,19724.0,5584.961718,F,Suburban,49
1903,Four-Door Car,Premium,Offer2,Employed,Married,Master,1,116.0,443.670399,83102.0,4678.423394,M,Urban,35
772,SUV,Basic,Offer1,Employed,Divorced,Bachelor,2,109.0,757.170246,77469.0,12883.11573,M,Suburban,98
4713,Four-Door Car,Basic,Offer3,Employed,Divorced,College,1,71.0,352.791394,39192.0,2846.171869,F,Suburban,11
2913,Four-Door Car,Basic,Offer4,Employed,Married,College,1,74.0,491.446146,24049.0,2907.363467,M,Suburban,80
3378,Four-Door Car,Extended,Offer3,Employed,Married,High School or Below,1,78.0,374.4,48056.0,3129.110699,F,Suburban,92
4196,Two-Door Car,Basic,Offer2,Employed,Single,Bachelor,1,65.0,276.877348,56228.0,2520.301352,M,Urban,79
4115,Luxury SUV,Extended,Offer3,Employed,Married,High School or Below,2,235.0,1065.049894,83006.0,46805.22306,M,Urban,61
2512,SUV,Basic,Offer4,Employed,Married,College,1,100.0,116.163,31409.0,3891.537785,M,Rural,39
3827,Two-Door Car,Basic,Offer2,Medical Leave,Divorced,High School or Below,1,61.0,292.8,23253.0,2279.696801,M,Suburban,49
2941,Four-Door Car,Extended,Offer3,Disabled,Married,College,5,86.0,412.8,21853.0,6555.360031,M,Suburban,2
3318,Four-Door Car,Basic,Offer3,Disabled,Married,Master,1,62.0,15.616535,22732.0,2445.844833,F,Rural,35
5547,Two-Door Car,Basic,Offer3,Employed,Married,College,3,61.0,292.8,29070.0,4656.665064,M,Suburban,99
4842,Four-Door Car,Extended,Offer2,Employed,Married,Doctor,6,79.0,4.61262,21368.0,6308.922374,F,Rural,2
1636,Two-Door Car,Basic,Offer1,Employed,Divorced,College,6,65.0,468.0,43906.0,5157.053124,M,Suburban,53
3517,Two-Door Car,Basic,Offer3,Employed,Married,High School or Below,5,68.0,234.393625,74561.0,5427.484591,F,Urban,23
2760,Two-Door Car,Basic,Offer4,Employed,Married,College,1,74.0,238.517525,66524.0,2899.922473,F,Urban,8
1151,Four-Door Car,Basic,Offer4,Employed,Divorced,Bachelor,3,64.0,307.2,72006.0,5094.522262,F,Suburban,38
2445,Two-Door Car,Basic,Offer2,Employed,Married,College,2,63.0,294.75626,39049.0,14932.09982,F,Urban,34
5611,Luxury Car,Basic,Offer3,Employed,Married,Master,3,199.0,612.973779,35754.0,15797.98978,M,Urban,54
5353,SUV,Extended,Offer1,Employed,Married,Master,6,131.0,232.711071,47761.0,10552.16999,M,Rural,54
4482,Four-Door Car,Extended,Offer2,Employed,Married,College,1,88.0,170.106831,76769.0,3560.628183,F,Rural,91
3069,Luxury SUV,Basic,Offer4,Employed,Married,Bachelor,1,185.0,1298.853615,62473.0,7414.436023,F,Suburban,29
3792,Four-Door Car,Extended,Offer3,Employed,Married,High School or Below,2,85.0,408.0,57844.0,16675.89616,M,Suburban,31
5327,Four-Door Car,Basic,Offer1,Employed,Single,Bachelor,1,67.0,67.632476,53703.0,2521.555686,M,Rural,45
2282,Four-Door Car,Extended,Offer2,Employed,Married,High School or Below,6,88.0,404.243868,92423.0,7109.341438,F,Urban,79
3370,Two-Door Car,Extended,Offer4,Employed,Married,College,1,76.0,99.382943,68205.0,3034.646997,M,Rural,14
1656,Four-Door Car,Basic,Offer2,Employed,Married,College,5,72.0,230.241775,69451.0,5715.787663,M,Urban,93
5496,Four-Door Car,Basic,Offer2,Employed,Married,College,2,66.0,94.142294,30535.0,20930.05217,F,Rural,18
148,Four-Door Car,Extended,Offer3,Employed,Married,College,7,82.0,275.395894,61709.0,6410.967544,M,Urban,41
4400,Two-Door Car,Basic,Offer2,Employed,Married,High School or Below,2,65.0,2.574682,46182.0,7777.201669,F,Rural,27
318,Four-Door Car,Basic,Offer1,Employed,Divorced,College,2,73.0,101.489422,50854.0,11516.40557,F,Rural,72
3252,Four-Door Car,Extended,Offer3,Employed,Married,High School or Below,7,94.0,648.690215,74089.0,7455.361568,F,Suburban,89
5359,Four-Door Car,Extended,Offer2,Employed,Married,Bachelor,1,80.0,255.999709,50989.0,3184.355246,M,Urban,11
117,Four-Door Car,Basic,Offer3,Employed,Married,High School or Below,6,70.0,336.0,72874.0,5630.793,M,Suburban,31
771,Four-Door Car,Premium,Offer1,Employed,Divorced,High School or Below,2,111.0,756.37287,57659.0,30909.22228,M,Suburban,31
